# P(GPa) T(K)    xMgol  dxMgol xFeol  dxFeol xMggt  dxMggt xFegt  dxFegt xCagt  dxCagt
3.0000 1173.1500 0.9313 0.0050 0.0687 0.0050 0.6534 0.0189 0.1421 0.0189 0.2045 0.0189
3.0000 1173.1500 0.9285 0.0050 0.0715 0.0050 0.6855 0.0127 0.1396 0.0127 0.1749 0.0127
3.0000 1173.1500 0.9284 0.0050 0.0716 0.0050 0.7062 0.0106 0.1415 0.0106 0.1523 0.0106
3.0000 1173.1500 0.9283 0.0050 0.0717 0.0050 0.7348 0.0106 0.1445 0.0106 0.1207 0.0106
3.0000 1273.1500 0.9241 0.0050 0.0759 0.0050 0.6136 0.0156 0.1217 0.0156 0.2646 0.0156
3.0000 1273.1500 0.9230 0.0050 0.0770 0.0050 0.6612 0.0134 0.1245 0.0134 0.2143 0.0134
3.0000 1273.1500 0.9216 0.0050 0.0784 0.0050 0.6729 0.0134 0.1228 0.0134 0.2043 0.0134
3.0000 1273.1500 0.9218 0.0050 0.0782 0.0050 0.7053 0.0127 0.1268 0.0127 0.1679 0.0127
3.0000 1273.1500 0.9218 0.0050 0.0782 0.0050 0.7307 0.0115 0.1297 0.0115 0.1396 0.0115
3.0000 1273.1500 0.9209 0.0050 0.0791 0.0050 0.8038 0.0098 0.1357 0.0098 0.0605 0.0098
3.0000 1273.1500 0.9211 0.0050 0.0789 0.0050 0.8270 0.0060 0.1389 0.0060 0.0341 0.0060
3.0000 1473.1500 0.9206 0.0050 0.0794 0.0050 0.6607 0.0127 0.1191 0.0127 0.2202 0.0127
3.0000 1473.1500 0.9197 0.0050 0.0803 0.0050 0.6939 0.0098 0.1209 0.0098 0.1852 0.0098
3.0000 1473.1500 0.9188 0.0050 0.0812 0.0050 0.7497 0.0101 0.1250 0.0101 0.1253 0.0101
3.0000 1473.1500 0.9187 0.0050 0.0813 0.0050 0.7917 0.0091 0.1295 0.0091 0.0788 0.0091
3.0000 1473.1500 0.9164 0.0050 0.0836 0.0050 0.8541 0.0050 0.1313 0.0050 0.0146 0.0050
3.0000 1673.1500 0.9167 0.0050 0.0833 0.0050 0.6890 0.0120 0.1138 0.0120 0.1973 0.0120
3.0000 1673.1500 0.9160 0.0050 0.0840 0.0050 0.7362 0.0103 0.1173 0.0103 0.1465 0.0103
3.0000 1673.1500 0.9151 0.0050 0.0849 0.0050 0.7940 0.0077 0.1218 0.0077 0.0842 0.0077
3.0000 1673.1500 0.9118 0.0050 0.0882 0.0050 0.8630 0.0070 0.1222 0.0070 0.0148 0.0070
