# P (GPa)     T (K)     fo%   err     sp%   err
0.0001      1573.15     92.4  0.1     91.8  0.1
0.0001      1573.15     92.0  0.2     90.3  0.3
0.0001      1573.15     86.1  0.2     84.4  0.2
0.0001      1573.15     81.4  0.1     84.3  0.3
0.0001      1573.15     86.1  0.1     79.8  0.2
0.0001      1573.15     81.4  0.2     79.2  0.7
0.0001      1573.15     71.3  0.7     71.7  0.7
0.0001      1573.15     72.0  0.3     70.7  0.4
0.0001      1573.15     71.5  0.3     70.9  0.3
0.0001      1573.15     63.1  0.3     62.2  0.2
0.0001      1573.15     62.9  0.1     62.2  0.4
0.0001      1573.15     59.7  0.2     58.6  0.5
0.0001      1573.15     52.8  0.3     54.2  0.4
0.0001      1573.15     51.7  1.0     53.3  1.0
0.0001      1573.15     52.5  0.3     52.5  0.8
0.0001      1573.15     51.6  0.2     52.2  0.5
0.0001      1573.15     51.5  0.1     51.2  0.2
0.0001      1573.15     46.4  0.2     47.7  0.4
# all samples in the FMAS(O) system in equilibrium with metallic iron
