% P (GPa)	T (K)	V (A^3)	err V
0.0001	300	377.137363946	0.8
0.3316253442	300	375.983038733	0.8
4.0922977631	300	367.425198821	0.8
6.9671481005	300	362.907270967	0.8
8.0106399983	300	359.442033422	0.8
18.3607526412	300	343.799607333	0.8
25.469405481	300	332.563069434	0.8
27.7695511477	300	329.202181079	0.8
29.7032079836	300	325.84445939	0.8
31.5320330902	300	322.372436131	0.8
34.5656389578	300	319.466039767	0.8
38.1732256868	300	314.711365919	0.8
39.4803048444	300	312.971961433	0.8
42.5141519819	300	310.295977731	0.8
27.3	300	332.1	0.5
22.6	300	330.3	0.5
33.7	300	321.3	1.2
34.9	300	321.2	0.9
34.5	300	319.9	0.4
50.5	300	306.3	0.5
53	300	305	0.5
53.3	300	303.7	1.1
53	300	302.7	0.6
53.2	300	302.3	0.6
54	300	301.3	0.6
53.7	300	301.1	0.4
53.2	300	300.7	0.6
60.2	300	294.3	0.4
74	300	285.5	1.1
75.7	300	284.8	0.5
74.4	300	284.5	0.3
74.6	300	283.8	0.8
79.9	300	283.3	1.1
