% Phase	P (GPa)	T (K)	V (cm^3/mol)	V err (cm^3/mol)
VI	    68.9	1300	11.5037946542	0.0045166057
VI	    68.9	1800	11.6483260358	0.0045166057
VI	    68.9	300	    11.548960711	0.0045166057
VI	    84.8	1300	11.2162374263	0.0045166057
VI	    84.8	1800	11.1033222844	0.0045166057
VI	    84.8	300	    11.0747171151	0.0045166057
VI	    101.1	1800	10.7992041689	0.0045166057
VI	    101.1	300	    10.7344661543	0.0045166057
VI	    70.3	300	    11.475189485	0.0030110705
III	    13.9	300	    14.1214185654	0.0040147606
IV	    19.2	1300	13.9374923454	0.0045166057
III	    19.2	300	    13.676783829	0.0045166057
VI      23.1	1300	13.5874554056	0.0045166057
III     23.1	300	    13.4173299252	0.0035129155
VI	    29.1	1300	13.1975217824	0.0045166057
III	    29.1	300	    13.0765771193	0.0040147606
VI	    33	    1300	13.0093298792	0.0045166057
III	    33	    300	    12.8683114132	0.0035129155
VI	    39	    1100	12.5109977198	0.0045166057
VI	    39	    300	    12.4838980857	0.0045166057
VI	    44.3	1300	12.452281846	0.0045166057
VI	    44.3	300	    12.3062449292	0.0045166057
VI	    112.3	300	    10.5297133637	0.0090332114
VI	    130.6	300	    10.2752779106	0.0075276761
VI	    148.5	300	    10.010303711	0.0075276761
VI	    170.5	300	    9.742318441	    0.0075276761
VI	    185.5	300	    9.4728276357	0.0075276761
VI	    198.2	300	    9.3794844518	0.0075276761
VI	    214.5	300	    9.2304364645	0.0075276761
