% Supplemental Table S2. Pressure-volume-temperature data on Fe-16Si from synchrotron X-ray diffraction experiments.
% From Fischer et al., 2012
% Structure	P (GPa)	+/-	T up, meas (K)*	T down, meas (K)*	T average, meas (K)*	T sample (K)*	+/-	T KBr (K)*	+/-	a KBr (Å)	+/-	V D03 Fe-Si (cm3/mol)	+/-	V B2 Fe-Si (cm3/mol)	+/-	V hcp Fe-Si (cm3/mol)	+/-	a hcp Fe-Si	+/-	c hcp Fe-Si	+/-	c/a hcp Fe-Si	+/-
D0_3	0	    0	300	300	300	300	0	300	0	    -	    -	6.799	0.004	-	-	-	-	-	-	-	-	-	-
D0_3	3.5	    0.1	300	300	300	300	0	300	0	3.816	0.003	6.668	0.012	-	-	-	-	-	-	-	-	-	-
D0_3	5.7	    0.0	300	300	300	300	0	300	0	3.747	0.001	6.595	0.011	-	-	-	-	-	-	-	-	-	-
D0_3	7.0	    0.2	300	300	300	300	0	300	0	3.712	0.004	6.548	0.015	-	-	-	-	-	-	-	-	-	-
D0_3	10.7	0.0	300	300	300	300	0	300	0	3.633	0.001	6.468	0.010	-	-	-	-	-	-	-	-	-	-
D0_3	11.5	0.1	300	300	300	300	0	300	0	3.617	0.001	6.449	0.010	-	-	-	-	-	-	-	-	-	-
D0_3	11.8	0.1	300	300	300	300	0	300	0	3.613	0.001	6.468	0.020	-	-	-	-	-	-	-	-	-	-
D0_3	12.4	0.1	300	300	300	300	0	300	0	3.603	0.002	6.426	0.008	-	-	-	-	-	-	-	-	-	-
D0_3	12.6	0.2	300	300	300	300	0	300	0	3.599	0.003	6.428	0.008	-	-	-	-	-	-	-	-	-	-
D0_3	14.0	0.1	300	300	300	300	0	300	0	3.576	0.002	6.397	0.010	-	-	-	-	-	-	-	-	-	-
D0_3	16.6	0.1	300	300	300	300	0	300	0	3.538	0.001	6.336	0.007	-	-	-	-	-	-	-	-	-	-
D0_3	17.7	0.1	300	300	300	300	0	300	0	3.523	0.001	6.321	0.010	-	-	-	-	-	-	-	-	-	-
D0_3	18.1	0.1	300	300	300	300	0	300	0	3.518	0.001	6.296	0.014	-	-	-	-	-	-	-	-	-	-
D0_3	19.6	0.2	300	300	300	300	0	300	0	3.499	0.002	6.255	0.017	-	-	-	-	-	-	-	-	-	-
D0_3	21.3	0.2	300	300	300	300	0	300	0	3.480	0.002	6.220	0.016	-	-	-	-	-	-	-	-	-	-
D0_3	22.3	0.1	300	300	300	300	0	300	0	3.468	0.001	6.211	0.007	-	-	-	-	-	-	-	-	-	-
D0_3	24.0	0.3	300	300	300	300	0	300	0	3.450	0.003	6.184	0.024	-	-	-	-	-	-	-	-	-	-
D0_3	24.8	0.3	300	300	300	300	0	300	0	3.443	0.003	6.144	0.018	-	-	-	-	-	-	-	-	-	-
D0_3	25.8	0.4	300	300	300	300	0	300	0	3.433	0.004	6.121	0.022	-	-	-	-	-	-	-	-	-	-
D0_3	26.9	0.4	300	300	300	300	0	300	0	3.422	0.004	6.095	0.020	-	-	-	-	-	-	-	-	-	-
D0_3	27.0	0.2	300	300	300	300	0	300	0	3.421	0.002	6.119	0.022	-	-	-	-	-	-	-	-	-	-
D0_3	27.9	0.5	300	300	300	300	0	300	0	3.413	0.004	6.072	0.022	-	-	-	-	-	-	-	-	-	-
D0_3	28.8	0.6	300	300	300	300	0	300	0	3.405	0.005	6.044	0.019	-	-	-	-	-	-	-	-	-	-
D0_3	31.6	0.7	300	300	300	300	0	300	0	3.381	0.006	5.993	0.022	-	-	-	-	-	-	-	-	-	-
D0_3	31.9	1.2	300	300	300	300	0	300	0	3.379	0.010	6.016	0.019	-	-	-	-	-	-	-	-	-	-
D0_3	34.0	1.1	300	300	300	300	0	300	0	3.362	0.009	5.997	0.018	-	-	-	-	-	-	-	-	-	-
D0_3	35.2	1.3	300	300	300	300	0	300	0	3.353	0.010	5.959	0.015	-	-	-	-	-	-	-	-	-	-
D0_3	37.0	1.3	300	300	300	300	0	300	0	3.340	0.009	5.933	0.042	-	-	-	-	-	-	-	-	-	-
D0_3	38.0	1.4	300	300	300	300	0	300	0	3.333	0.010	5.906	0.020	-	-	-	-	-	-	-	-	-	-
D0_3	38.7	1.5	300	300	300	300	0	300	0	3.329	0.010	5.871	0.016	-	-	-	-	-	-	-	-	-	-
D0_3	40.1	1.5	300	300	300	300	0	300	0	3.319	0.010	5.887	0.046	-	-	-	-	-	-	-	-	-	-
D0_3	44.5	1.0	300	300	300	300	0	300	0	3.291	0.006	5.789	0.030	-	-	-	-	-	-	-	-	-	-
D0_3	15.6	0.4	1197	1211	1204	1177	104	977	    227	3.569	0.002	6.533	0.005	-	-	-	-	-	-	-	-	-	-
D0_3	15.8	0.5	1349	1388	1369	1336	107	1100	268	3.571	0.003	6.565	0.010	-	-	-	-	-	-	-	-	-	-
D0_3	15.9	0.6	1526	1481	1504	1467	109	1201	302	3.571	0.002	6.573	0.012	-	-	-	-	-	-	-	-	-	-
D0_3	16.1	0.7	1724	1774	1749	1705	112	1386	364	3.573	0.002	6.561	0.017	-	-	-	-	-	-	-	-	-	-
D0_3	17.4	0.5	1458	1426	1442	1408	107	1155	287	3.547	0.002	6.506	0.024	-	-	-	-	-	-	-	-	-	-
D0_3	17.7	0.6	1653	1605	1629	1589	110	1296	334	3.547	0.002	6.498	0.019	-	-	-	-	-	-	-	-	-	-
D0_3	17.9	0.7	1836	1749	1793	1748	118	1418	374	3.547	0.002	6.498	0.026	-	-	-	-	-	-	-	-	-	-
D0_3	17.9	0.6	1685	1720	1703	1660	110	1351	352	3.545	0.002	6.501	0.022	-	-	-	-	-	-	-	-	-	-
D0_3	18.0	0.7	1869	1923	1896	1848	114	1496	400	3.548	0.002	6.508	0.013	-	-	-	-	-	-	-	-	-	-
D0_3	18.0	0.8	1939	1980	1960	1910	114	1543	416	3.549	0.001	6.507	0.030	-	-	-	-	-	-	-	-	-	-
D0_3	18.1	0.8	1966	2060	2013	1961	122	1584	430	3.549	0.002	6.734	0.016	-	-	-	-	-	-	-	-	-	-
D0_3	18.1	0.8	1981	2019	2000	1949	114	1574	426	3.548	0.002	6.502	0.031	-	-	-	-	-	-	-	-	-	-
D0_3	28.3	0.6	1577	1541	1559	1521	108	1243	316	3.424	0.001	6.263	0.015	-	-	-	-	-	-	-	-	-	-
D0_3	28.5	0.6	1762	1685	1724	1681	115	1366	357	3.425	0.001	6.251	0.014	-	-	-	-	-	-	-	-	-	-
D0_3	28.5	0.6	1533	1445	1489	1453	115	1191	299	3.421	0.002	6.247	0.007	-	-	-	-	-	-	-	-	-	-
D0_3	28.6	0.7	1948	1880	1914	1865	116	1509	405	3.426	0.002	6.317	0.024	-	-	-	-	-	-	-	-	-	-
D0_3	28.6	0.7	1783	1725	1754	1710	113	1389	365	3.424	0.001	6.326	0.014	-	-	-	-	-	-	-	-	-	-
D0_3	28.6	0.8	2061	1980	2021	1969	120	1589	431	3.427	0.002	6.305	0.038	-	-	-	-	-	-	-	-	-	-
D0_3	28.7	0.6	1622	1531	1577	1538	116	1256	320	3.421	0.002	6.262	0.008	-	-	-	-	-	-	-	-	-	-
D0_3	28.7	0.7	1901	1834	1868	1820	116	1474	393	3.425	0.001	6.296	0.014	-	-	-	-	-	-	-	-	-	-
D0_3	28.7	0.7	1820	1774	1797	1752	112	1422	376	3.424	0.001	6.281	0.019	-	-	-	-	-	-	-	-	-	-
D0_3	28.9	0.8	2024	1936	1980	1929	120	1559	421	3.424	0.001	6.342	0.022	-	-	-	-	-	-	-	-	-	-
D0_3	29.2	0.5	1485	1413	1449	1414	112	1161	289	3.414	0.001	6.266	0.006	-	-	-	-	-	-	-	-	-	-
D0_3	29.3	0.6	1674	1636	1655	1614	110	1315	340	3.417	0.001	6.288	0.033	-	-	-	-	-	-	-	-	-	-
D0_3	29.6	0.8	2003	1984	1994	1943	113	1569	425	3.418	0.001	6.383	0.002	-	-	-	-	-	-	-	-	-	-
D0_3	29.8	0.7	1824	1791	1808	1762	111	1429	378	3.413	0.002	6.282	-	-	-	-	-	-	-	-	-	-	-
D0_3	33.5	0.6	1545	1549	1547	1509	107	1234	313	3.379	0.001	6.166	0.005	-	-	-	-	-	-	-	-	-	-
D0_3	33.6	0.8	1931	1931	1931	1882	111	1522	409	3.383	0.003	6.220	0.023	-	-	-	-	-	-	-	-	-	-
D0_3	33.7	0.6	1699	1689	1694	1652	109	1344	350	3.379	0.001	6.195	0.006	-	-	-	-	-	-	-	-	-	-
D0_3	33.8	0.9	2054	2054	2054	2001	113	1614	440	3.382	0.003	6.249	0.018	-	-	-	-	-	-	-	-	-	-
D0_3	33.9	0.5	1365	1433	1399	1366	111	1123	276	3.374	0.002	6.135	0.003	-	-	-	-	-	-	-	-	-	-
D0_3	35.5	0.6	1537	1653	1595	1556	122	1270	325	3.364	0.002	6.106	0.009	-	-	-	-	-	-	-	-	-	-
D0_3	35.6	0.7	1644	1767	1706	1663	125	1353	353	3.365	0.002	6.111	0.007	-	-	-	-	-	-	-	-	-	-
D0_3	35.6	0.7	1801	1927	1864	1817	127	1472	392	3.366	0.002	6.165	0.043	-	-	-	-	-	-	-	-	-	-
D0_3	35.7	0.7	1465	1575	1520	1483	120	1214	306	3.362	0.003	6.095	0.013	-	-	-	-	-	-	-	-	-	-
D0_3	36.1	0.8	1953	2088	2021	1969	131	1589	431	3.364	0.002	6.135	0.022	-	-	-	-	-	-	-	-	-	-
D0_3	36.1	0.9	2106	2263	2185	2128	139	1712	472	3.365	0.002	6.145	0.011	-	-	-	-	-	-	-	-	-	-
D0_3	36.1	1.0	2393	2528	2461	2396	137	1919	541	3.368	0.002	6.180	0.039	-	-	-	-	-	-	-	-	-	-
D0_3	36.1	1.0	2274	2438	2356	2294	143	1841	515	3.365	0.003	6.207	0.036	-	-	-	-	-	-	-	-	-	-
D0_3	42.0	0.8	1459	1594	1527	1490	126	1219	308	3.317	0.004	5.997	0.002	-	-	-	-	-	-	-	-	-	-
D0_3	42.8	0.9	1610	1572	1591	1552	109	1267	324	3.312	0.005	6.001	0.009	-	-	-	-	-	-	-	-	-	-
D0_3	43.0	0.7	1397	1511	1454	1419	120	1164	290	3.310	0.003	5.984	0.005	-	-	-	-	-	-	-	-	-	-
D0_3	43.1	1.0	1654	1688	1671	1630	110	1327	344	3.311	0.005	6.009	0.005	-	-	-	-	-	-	-	-	-	-
D0_3	43.2	1.1	1322	1320	1321	1290	105	1065	257	3.308	0.007	5.996	0.008	-	-	-	-	-	-	-	-	-	-
D0_3	43.3	1.3	1658	1750	1704	1662	118	1352	352	3.310	0.008	6.006	0.004	-	-	-	-	-	-	-	-	-	-
D0_3	43.6	0.9	1863	1918	1891	1843	114	1492	399	3.310	0.004	6.024	0.005	-	-	-	-	-	-	-	-	-	-
D0_3	43.8	1.1	1713	1786	1750	1706	115	1386	364	3.307	0.006	6.014	0.004	-	-	-	-	-	-	-	-	-	-
D0_3	43.9	1.1	1784	1869	1827	1781	118	1444	383	3.307	0.005	6.016	0.003	-	-	-	-	-	-	-	-	-	-
D0_3	49.1	1.0	1655	1688	1672	1630	109	1327	344	3.275	0.004	5.839	0.008	-	-	-	-	-	-	-	-	-	-
D0_3	49.2	0.8	1505	1469	1487	1451	108	1189	298	3.273	0.004	5.823	0.008	-	-	-	-	-	-	-	-	-	-
D0_3	49.4	1.1	1630	1587	1609	1569	110	1280	328	3.273	0.005	5.820	0.008	-	-	-	-	-	-	-	-	-	-
D0_3	49.8	0.9	1765	1754	1760	1716	109	1393	366	3.272	0.004	5.848	0.003	-	-	-	-	-	-	-	-	-	-
D0_3	50.1	0.9	1981	1955	1968	1918	113	1550	418	3.272	0.003	5.838	0.010	-	-	-	-	-	-	-	-	-	-
D0_3	50.3	1.0	1843	1879	1861	1814	112	1470	392	3.270	0.004	5.864	0.008	-	-	-	-	-	-	-	-	-	-
D0_3	50.3	1.0	2227	2166	2197	2139	119	1721	475	3.272	0.003	5.885	0.016	-	-	-	-	-	-	-	-	-	-
D0_3	50.4	1.0	2170	2113	2142	2086	118	1680	462	3.272	0.003	5.873	0.014	-	-	-	-	-	-	-	-	-	-
D0_3	50.4	1.0	2345	2292	2319	2258	120	1813	506	3.273	0.003	5.885	0.011	-	-	-	-	-	-	-	-	-	-
D0_3	50.5	1.1	2044	2031	2038	1985	113	1602	436	3.270	0.004	5.867	0.017	-	-	-	-	-	-	-	-	-	-
D0_3	50.6	1.1	2417	2358	2388	2325	122	1864	523	3.272	0.003	5.879	0.015	-	-	-	-	-	-	-	-	-	-
D0_3	52.8	0.6	1466	1485	1476	1440	107	1180	295	3.253	0.001	5.793	-	    -	-	-	-	-	-	-	-	-	-
D0_3	57.1	0.6	1487	1517	1502	1466	107	1200	302	3.232	0.001	5.759	0.012	-	-	-	-	-	-	-	-	-	-
D0_3	57.3	0.8	1840	1842	1841	1795	110	1455	387	3.233	0.002	5.780	0.021	-	-	-	-	-	-	-	-	-	-
D0_3	57.4	0.9	2123	2104	2114	2059	114	1659	455	3.234	0.002	5.782	0.033	-	-	-	-	-	-	-	-	-	-
D0_3	59.7	0.6	1625	1611	1618	1578	108	1287	331	3.220	0.001	5.708	0.016	-	-	-	-	-	-	-	-	-	-
D0_3	62.9	0.9	1986	1991	1989	1938	112	1565	423	3.208	0.002	5.646	0.024	-	-	-	-	-	-	-	-	-	-
D0_3	63.0	1.0	2300	2224	2262	2203	122	1770	492	3.209	0.002	5.632	0.018	-	-	-	-	-	-	-	-	-	-
B2	53.4	1.0	2451	2504	2478	2412	122	1932	546	3.258	0.002	-	-	5.828	0.026	-	-	-	-	-	-	-	-
B2	67.4	1.1	2443	2420	2432	2367	119	1897	534	3.191	0.003	-	-	5.662	0.018	-	-	-	-	-	-	-	-
B2	67.7	0.9	2154	2138	2146	2090	115	1683	463	3.188	0.002	-	-	5.639	0.009	-	-	-	-	-	-	-	-
B2	67.7	1.1	2487	2416	2452	2387	124	1912	539	3.189	0.002	-	-	5.634	0.014	-	-	-	-	-	-	-	-
B2	67.7	1.0	2387	2366	2377	2314	118	1856	520	3.189	0.002	-	-	5.647	0.008	-	-	-	-	-	-	-	-
B2	73.6	1.1	2258	2170	2214	2156	123	1734	480	3.164	0.003	-	-	5.543	0.008	-	-	-	-	-	-	-	-
B2	74.0	1.4	2622	2573	2598	2528	124	2022	576	3.165	0.003	-	-	5.566	0.011	-	-	-	-	-	-	-	-
B2	74.5	1.4	2828	2893	2861	2784	130	2219	641	3.164	0.003	-	-	5.588	0.042	-	-	-	-	-	-	-	-
B2	85.3	1.5	2935	2878	2907	2828	130	2254	653	3.126	0.003	-	-	5.492	0.036	-	-	-	-	-	-	-	-
HCP+B2	66.9	0.8	1809	1816	1813	1767	110	1433	379	3.189	0.002	-	-	5.608	0.007	5.516	0.017	2.354	0.003	3.818	0.005	1.622	0.002
HCP+B2	67.0	0.6	1562	1592	1577	1539	108	1257	321	3.188	0.001	-	-	5.599	0.005	5.637	0.017	2.371	0.003	3.844	0.005	1.621	0.002
HCP+B2	67.0	0.7	1482	1575	1529	1491	116	1220	308	3.187	0.002	-	-	5.611	0.004	5.578	0.009	2.364	0.002	3.827	0.003	1.619	0.001
HCP+B2	67.0	0.8	1713	1805	1759	1715	119	1393	366	3.188	0.002	-	-	5.632	0.008	5.609	0.018	2.369	0.003	3.833	0.005	1.618	0.002
HCP+B2	67.2	0.7	1748	1779	1764	1719	110	1396	367	3.188	0.001	-	-	5.615	0.004	5.635	0.007	2.374	0.001	3.836	0.002	1.616	0.001
HCP+B2	67.3	0.8	1794	1905	1850	1803	124	1461	389	3.188	0.002	-	-	5.624	0.006	5.651	0.009	2.373	0.002	3.847	0.003	1.621	0.001
HCP+B2	67.3	0.7	1484	1464	1474	1439	107	1179	295	3.186	0.002	-	-	5.607	0.007	5.645	0.027	2.374	0.005	3.841	0.008	1.618	0.003
HCP+B2	67.3	0.7	1548	1545	1547	1509	107	1234	313	3.186	0.002	-	-	5.597	0.005	5.643	0.041	2.372	0.008	3.847	0.013	1.622	0.005
HCP+B2	67.5	0.8	1619	1726	1673	1631	121	1328	344	3.186	0.002	-	-	5.618	0.004	5.658	0.035	2.375	0.007	3.846	0.011	1.619	0.004
HCP+B2	67.5	0.9	2007	1989	1998	1947	113	1572	426	3.188	0.002	-	-	5.630	0.005	5.632	0.061	2.370	0.012	3.844	0.019	1.622	0.008
HCP+B2	67.5	0.7	1676	1711	1694	1652	110	1344	350	3.186	0.002	-	-	5.604	0.004	5.651	0.020	2.372	0.004	3.850	0.006	1.623	0.003
HCP+B2	73.3	1.1	1996	1969	1983	1932	113	1561	422	3.164	0.003	-	-	5.521	0.020	5.598	-	2.366	-	3.834	-	1.620	-
HCP+B2	73.6	1.0	2177	2210	2194	2137	116	1719	475	3.164	0.002	-	-	5.516	0.010	5.571	0.008	2.360	0.001	3.835	0.002	1.625	0.001
HCP+B2	80.3	1.7	1653	1768	1711	1668	123	1357	354	3.137	0.006	-	-	5.433	0.045	5.421	0.023	2.347	0.004	3.776	0.007	1.609	0.003
HCP+B2	82.2	1.4	1842	1934	1888	1840	120	1490	398	3.131	0.004	-	-	5.406	0.009	5.410	0.016	2.351	0.003	3.753	0.005	1.596	0.002
HCP+B2	82.8	1.4	2035	2141	2088	2034	125	1640	448	3.130	0.004	-	-	5.415	0.007	5.458	0.006	2.346	0.001	3.803	0.002	1.621	0.001
HCP+B2	82.8	1.1	1609	1591	1600	1561	108	1274	326	3.128	0.003	-	-	5.409	0.005	5.417	0.004	2.342	0.001	3.787	0.001	1.617	0.000
HCP+B2	83.1	1.0	1522	1494	1508	1472	107	1205	303	3.126	0.003	-	-	5.404	0.005	5.403	0.005	2.341	0.001	3.779	0.001	1.614	0.001
HCP+B2	83.2	1.0	1798	1836	1817	1771	112	1437	381	3.128	0.002	-	-	5.408	0.007	5.424	0.004	2.343	0.001	3.789	0.001	1.617	0.000
HCP+B2	83.5	1.1	1953	1996	1975	1924	114	1555	420	3.127	0.003	-	-	5.417	0.004	5.434	0.005	2.344	0.001	3.791	0.002	1.617	0.001
HCP+B2	83.9	1.3	2268	2331	2300	2239	121	1798	501	3.128	0.003	-	-	5.428	0.006	5.466	0.005	2.347	0.001	3.805	0.002	1.621	0.001
HCP+B2	83.9	1.1	2182	2168	2175	2119	115	1705	470	3.127	0.002	-	-	5.432	0.006	5.444	0.005	2.346	0.001	3.795	0.002	1.618	0.001
HCP+B2	84.3	1.5	2788	2722	2755	2681	129	2140	615	3.128	0.004	-	-	5.401	0.044	5.531	0.005	2.349	0.001	3.844	0.001	1.637	0.001
HCP+B2	84.4	1.5	2573	2500	2537	2469	126	1976	560	3.127	0.004	-	-	5.407	0.026	5.497	0.003	2.347	0.001	3.827	0.001	1.631	0.000
HCP+B2	96.0	2.3	1998	2005	2002	1950	112	1575	427	3.088	0.006	-	-	5.265	0.003	5.293	0.011	2.325	0.002	3.756	0.003	1.616	0.001
HCP+B2	96.9	2.3	2207	2216	2212	2154	115	1732	479	3.086	0.006	-	-	5.278	0.007	5.299	0.005	2.324	0.001	3.762	0.001	1.619	0.001
