% Expt#         T(C)    V/V0 (NaCl)     Err     P(GPa; Decker, 1971)    Note
4-12            800     0.9115          0.0006  5.02   0.02             fa->
5-3             800     0.9164          0.0013  4.82   0.05             fa->
16-4            800     0.9127          0.0015  4.97   0.06             fa->
4-14            1000    0.9157          0.0013  5.44   0.05             fa->
16-8            1000    0.9173          0.0029  5.37   0.11             fa->
4-18            1200    0.9119          0.0011  6.18   0.04             fa->
16-11           1200    0.9209          0.0010  5.82   0.04             fa->
4-10            800     0.9336          0.0004  4.18   0.01             frw->
4-13            1000    0.9219          0.0008  5.18   0.03             frw->
16-7            1000    0.9235          0.0008  5.14   0.03             frw->
4-15            1200    0.9281          0.0008  5.56   0.03             frw->
16-9            1200    0.9298          0.0017  5.50   0.06             frw->
