20                                       5.703 (5)                 11.424 (4)                   8.260 (4)                 538.1 (9)                   8.065 (1)                 524.6 (2)
100                                       5.705 (7)                 11.444 (10)                 8.268 (6)                 539.8 (15)                 8.073 (3)                 526.1 (6)
200                                       5.707 (5)                 11.470 (8)                   8.279 (5)                 541.9 (12)                 8.081 (3)                 527.7 (6)
300                                       5.719 (7)                 11.467 (8)                   8.291 (6)                 543.7 (14)                 8.093 (1)                 530.1 (2)
400                                       5.724 (4)                 11.471 (5)                   8.302 (4)                 545.1 (9)                   8.100 (2)                 531.4 (4)
500                                       5.728 (5)                 11.482 (7)                   8.319 (5)                 547.1 (11)                 8.105 (2)                 532.4 (4)
600                                       5.731 (5)                 11.493 (7)                   8.325 (6)                 548.3 (12)                 8.116 (1)                 534.6 (2)
700                                       5.733 (2)                 11.511 (3)                   8.338 (2)                 550.2 (5)                   8.123 (2)                 536.0 (4)
20                                       5.703 (5)                 11.424 (4)                   8.260 (4)                 538.1 (9)                   8.065 (1)                 524.6 (2)
100                                       5.705 (1)                 11.449 (3)                   8.268 (1)                 540.0 (3)                   8.071 (3)                 525.8 (6)
200                                       5.710 (3)                 11.458 (7)                   8.273 (3)                 541.3 (8)                   8.079 (4)                 527.3 (8)
200R                                     5.714 (3)                 11.460 (6)                   8.279 (3)                 542.1 (8)                   8.076 (5)                 526.7 (10)
300                                       5.718 (5)                 11.476 (5)                   8.292 (2)                 544.1 (8)                   8.090 (4)                 529.5 (8)
400                                       5.723 (2)                 11.470 (5)                   8.296 (3)                 544.6 (6)                   8.096 (3)                 530.7 (6)
500                                       5.731 (1)                 11.489 (2)                   8.317 (1)                 547.6 (3)                   8.101 (7)                 531.6 (14)
500R                                     5.729 (5)                 11.489 (7)                   8.318 (5)                 547.5 (11)                 8.099 (2)                 531.2 (4)
600                                       5.732 (5)                 11.500 (10)                 8.329 (5)                 549.0 (13)                 8.113 (3)                 534.0 (6)
700                                       5.735 (2)                 11.510 (3)                   8.336 (1)                 550.3 (4)                   8.120 (5)                 535.4 (10)
