# Phase	Formula	H_0 (J/mol)	S_0 (J/K/mol)	Cp_a	Cp_b	Cp_c	Cp_d	Cp_e	Cp_f	Cp_g	Cp_h	V_0	K_0	Kprime_0	dKdT_p	d2KdT2_p	dKprimedT_p	a_0	a_1	a_2	a_3	a_4	T_max
MgO_liquid	MgO	-5.637165E+05	1.672500E+01	7.270800E+01	1.818300E-03	-1.312400E+06	-2.562700E+02	3.089900E+08	3.790740E-07	-3.808400E-11	0.000000E+00	1.141000E-05	3.530000E+10	4.810000E+00	0.000000E+00	0.000000E+00	0.000000E+00	-5.514000E-09	1.088000E-04	8.412000E-03	0.000000E+00	0.000000E+00	5.000000E+03
Al2O3_liquid	Al2O3	-1.640115E+06	6.363000E+00	1.677500E+02	4.387800E-03	-5.955100E+06	2.101800E+02	5.332000E+08	0.000000E+00	0.000000E+00	0.000000E+00	3.739200E-05	5.485000E+09	1.950000E+01	0.000000E+00	0.000000E+00	0.000000E+00	-2.145000E-09	5.482000E-05	0.000000E+00	0.000000E+00	0.000000E+00	5.000000E+03
SiO2_liquid	SiO2	-9.117462E+05	3.388700E+01	8.845500E+01	-3.001370E-03	-4.852700E+06	-1.143300E+02	7.282900E+08	7.133200E-07	5.923900E-12	0.000000E+00	2.787200E-05	5.000000E+09	1.580000E+01	0.000000E+00	0.000000E+00	0.000000E+00	-3.611000E-08	8.431000E-05	0.000000E+00	0.000000E+00	0.000000E+00	5.000000E+03
corundum	Al2O3	-1.675700E+06	5.140000E+01	1.166300E+02	1.698600E-02	-3.232300E+06	-1.041600E+02	0.000000E+00	-2.858100E-06	0.000000E+00	0.000000E+00	2.557500E-05	2.549790E+11	4.200000E+00	-3.900000E+07	0.000000E+00	0.000000E+00	-8.000000E-10	4.196000E-05	-1.140600E-02	1.062300E+00	0.000000E+00	5.000000E+03
mullite	Al6Si2O13	-6.820400E+06	2.748890E+02	6.348100E+02	0.000000E+00	-1.720990E+07	-3.373500E+03	2.122740E+09	0.000000E+00	0.000000E+00	0.000000E+00	1.346000E-04	1.683000E+11	4.000000E+00	-1.750000E+07	0.000000E+00	0.000000E+00	0.000000E+00	1.670000E-05	0.000000E+00	0.000000E+00	0.000000E+00	3.500000E+03
andalusite	Al2SiO5	-2.589972E+06	9.143400E+01	2.364800E+02	0.000000E+00	-7.526800E+06	-1.102900E+03	9.364400E+08	0.000000E+00	0.000000E+00	0.000000E+00	5.152000E-05	1.497900E+11	4.000000E+00	-3.370000E+07	0.000000E+00	4.000000E-04	3.391000E-09	4.147360E-05	-1.339050E-02	1.812900E+00	0.000000E+00	3.500000E+03
kyanite	Al2SiO5	-2.594220E+06	8.243000E+01	2.626800E+02	0.000000E+00	-1.999700E+06	-2.001400E+03	-6.318000E+07	0.000000E+00	0.000000E+00	0.000000E+00	4.415000E-05	1.490680E+11	4.000000E+00	-2.860000E+07	0.000000E+00	6.000000E-04	-2.060000E-10	5.398020E-05	-1.505280E-02	1.553000E+00	0.000000E+00	3.500000E+03
sillimanite	Al2SiO5	-2.586091E+06	9.593000E+01	2.567300E+02	0.000000E+00	-2.977400E+06	-1.887200E+03	2.509600E+08	0.000000E+00	0.000000E+00	0.000000E+00	4.986000E-05	1.538537E+11	4.000000E+00	-2.270000E+07	0.000000E+00	4.000000E-04	7.127000E-09	3.489000E-05	-1.121300E-02	1.381540E+00	0.000000E+00	3.500000E+03
alpha_quartz	SiO2	-9.106999E+05	4.146000E+01	8.001200E+01	0.000000E+00	-3.546680E+06	-2.402760E+02	4.915700E+08	0.000000E+00	0.000000E+00	0.000000E+00	2.268800E-05	3.912800E+10	6.400000E+00	-1.900000E+05	0.000000E+00	0.000000E+00	2.986800E-08	2.751300E-05	5.600000E-06	9.120000E-02	0.000000E+00	8.480000E+02
beta_quartz	SiO2	-9.086268E+05	4.420700E+01	8.001200E+01	0.000000E+00	-3.546680E+06	-2.402760E+02	4.915700E+08	0.000000E+00	0.000000E+00	0.000000E+00	2.287500E-05	5.149500E+10	5.300000E+00	-1.353000E+07	0.000000E+00	0.000000E+00	3.469400E-08	2.060360E-05	1.307000E-04	-1.637600E+00	0.000000E+00	2.650000E+03
