# Pressure (GPa)  Temperature (C)   errT          Solid phases
0.00001         1895.0            20            1 1 
0.55            1917.5            20            1 2
1.8             1980              20            1 2
2.5             2030              20            1 2
3.05            2030              20            1 2
3.95            2092.5            20            1 2
4.65            2117.5            20            1 2
9.7             2250              20            1 3
10.6            2260              20            2 3 
11.8            2255              20            2 3        
12.8            2270              20            2 3
13.9            2275              20            2 3
13.9            2290              20            2 3
14.9            2305              20            2 3
16.5            2300              20            3 3
# 1: fo          1:  (Davis and England, 1964 via BA1914)
# 1: fo          2:  (Davis and England, 1964)
# 1: fo          3: PW
# 2: fo + per
# 3: fo + anhB
