# T (K) a/a573 err V/V573 err
574  1.0008 0.0001  1.0024 0.0001 
1028  1.0021 0.0003  1.0063 0.0003 
1429  1.0026 0.0003  1.0078 0.0003 
1529  1.0024 0.0001  1.0072 0.0003 
1650  1.0022 0.0001  1.0066 0.0001 
1721  1.0021 0.0001  1.0063 0.0001 
1760  1.0022 0.0001  1.0066 0.0001 
1790  1.0020 0.0002  1.0060 0.0002 
1817  1.0019 0.0002  1.0057 0.0002 
1838  1.0018 0.0002  1.0054 0.0002 
1853  1.0019 0.0003  1.0057 0.0003 
1860  1.0019 0.0002  1.0057 0.0002 
1865  1.0019 0.0003  1.0057 0.0003 
1872  1.0016 0.0002  1.0048 0.0002 
1877  1.0016 0.0002  1.0048 0.0002 
1890  1.0016 0.0002  1.0048 0.0003 
1916  1.0012 0.0003  1.0036 0.0003 
1946  1.0015 0.0002  1.0045 0.0006 
1977  1.0013 0.0001  1.0038 0.0007
# V573 = 27.3026 cm^3/mol
