# T (K) Cp (J/K/mol) S (J/K/mol) (HT - H0)/T (J/K/mol) phi (J/K/mol)
5                   0.0016                          0.0004                          0.0004                                      0.0001
6                   0.0028                          0.0008                          0.0007                                      0.0002
7                   0.0042                          0.0014                          0.0010                                      0.0003
8                   0.0058                          0.0020                          0.0015                                      0.0005
9                   0.0076                          0.0028                          0.0021                                      0.0007
10                 0.0098                          0.0037                          0.0028                                      0.0010
11                 0.0123                          0.0048                          0.0035                                      0.0013
12                 0.0152                          0.0060                          0.0044                                      0.0016
13                 0.0185                          0.0073                          0.0053                                      0.0020
14                 0.0222                          0.0088                          0.0064                                      0.0024
15                 0.0263                          0.0105                          0.0076                                      0.0029
20                 0.0530                          0.0215                          0.0154                                      0.0061
25                 0.0896                          0.0370                          0.0264                                      0.0106
30                 0.142                            0.058                            0.041                                        0.017
35                 0.217                            0.085                            0.060                                        0.024
40                 0.322                            0.120                            0.086                                        0.034
45                 0.465                            0.166                            0.120                                        0.046
50                 0.651                            0.224                            0.163                                        0.061
60                 1.175                            0.386                            0.285                                        0.101
70                 1.934                            0.621                            0.464                                        0.157
80                 2.940                            0.942                            0.708                                        0.234
90                 4.182                            1.358                            1.023                                        0.335
100               5.638                            1.872                            1.410                                        0.462
110               7.275                            2.485                            1.867                                        0.618
120               9.057                            3.193                            2.391                                        0.802
130             10.952                            3.993                            2.976                                        1.016
140             12.929                            4.876                            3.616                                        1.260
150             14.96                              5.84                              4.30                                          1.53
160             17.02                              6.87                              5.03                                          1.83
170             19.09                              7.96                              5.80                                          2.16
180             21.16                              9.11                              6.60                                          2.52
190             23.20                            10.31                              7.42                                          2.89
200             25.21                            11.55                              8.26                                          3.30
210             27.18                            12.83                              9.11                                          3.72
220             29.10                            14.14                              9.98                                          4.16
230             30.96                            15.47                            10.85                                          4.63
240             32.76                            16.83                            11.72                                          5.11
250             34.50                            18.20                            12.60                                          5.60
260             36.18                            19.59                            13.48                                          6.11
270             37.78                            20.99                            14.35                                          6.64
280             39.33                            22.39                            15.21                                          7.18
290             40.81                            23.79                            16.07                                          7.72
298.15        41.96                            24.94                            16.76                                       0.
