% Data from Nestola et al., 2006
% P (Gpa)	P err	V (m^3)	Verr
% Jd35Ae65
0.0001	0.00001	6.3012675387915E-005	0.000000003
0.358	0.003	6.28395388258275E-005	0.000000003
0.641	0.004	6.269651297019E-005	0.000000003
1.16	0.003	6.244358303601E-005	0.000000003
1.401	0.004	6.2332173422145E-005	0.000000003
1.788	0.003	6.213645383022E-005	0.000000003
2.118	0.005	6.197987815668E-005	0.000000003
2.521	0.004	6.1802224988625E-005	0.000000003
2.781	0.005	6.16802766275025E-005	0.000000003
3.269	0.004	6.14574573997725E-005	0.000000003
3.971	0.005	6.11443060526925E-005	0.000000003
4.553	0.005	6.089589272448E-005	0.000000003
5.037	0.005	6.06836122440075E-005	4.5166059675E-009
5.567	0.005	6.04622985516E-005	0.000000003
6.119	0.006	6.0248512535805E-005	4.5166059675E-009
6.476	0.006	6.0091936862265E-005	4.5166059675E-009
