>> -W0.5,grey,- 
0.0001 -0.188006627603 0.5
0.250099 -0.185674882483 0.5
0.500098 -0.183395818529 0.5
0.750097 -0.181167719602 0.5
1.000096 -0.178988942251 0.5
1.250095 -0.17685791194 0.5
1.500094 -0.174773119508 0.5
1.750093 -0.172733117834 0.5
2.000092 -0.170736518713 0.5
2.250091 -0.168781989908 0.5
2.50009 -0.166868252387 0.5
2.750089 -0.164994077715 0.5
3.000088 -0.163158285593 0.5
3.250087 -0.16135974155 0.5
3.500086 -0.159597354753 0.5
3.750085 -0.157870075952 0.5
4.000084 -0.156176895529 0.5
4.250083 -0.154516841664 0.5
4.500082 -0.152888978596 0.5
4.750081 -0.151292404983 0.5
5.00008 -0.149726252341 0.5
5.250079 -0.14818968358 0.5
5.500078 -0.146681891608 0.5
5.750077 -0.145202098008 0.5
6.000076 -0.143749551789 0.5
6.250075 -0.1423235282 0.5
6.500074 -0.140923327603 0.5
6.750073 -0.1395482744 0.5
7.000072 -0.138197716026 0.5
7.250071 -0.136871021977 0.5
7.50007 -0.135567582897 0.5
7.750069 -0.134286809704 0.5
8.000068 -0.133028132765 0.5
8.250067 -0.131791001104 0.5
8.500066 -0.130574881649 0.5
8.750065 -0.129379258522 0.5
9.000064 -0.128203632353 0.5
9.250063 -0.127047519633 0.5
9.500062 -0.125910452093 0.5
9.750061 -0.124791976115 0.5
10.00006 -0.123691652165 0.5
10.250059 -0.122609054263 0.5
10.500058 -0.121543769459 0.5
10.750057 -0.12049539735 0.5
11.000056 -0.11946354961 0.5
11.250055 -0.118447849538 0.5
11.500054 -0.117447931636 0.5
11.750053 -0.116463441196 0.5
12.000052 -0.115494033905 0.5
12.250051 -0.114539375478 0.5
12.50005 -0.113599141292 0.5
12.750049 -0.112673016045 0.5
13.000048 -0.111760693427 0.5
13.250047 -0.110861875804 0.5
13.500046 -0.109976273915 0.5
13.750045 -0.109103606585 0.5
14.000044 -0.108243600443 0.5
14.250043 -0.107395989656 0.5
14.500042 -0.106560515677 0.5
14.750041 -0.105736926995 0.5
15.00004 -0.104924978903 0.5
15.250039 -0.104124433266 0.5
15.500038 -0.103335058311 0.5
15.750037 -0.102556628411 0.5
16.000036 -0.10178892389 0.5
16.250035 -0.101031730824 0.5
16.500034 -0.100284840863 0.5
16.750033 -0.0995480510452 0.5
17.000032 -0.0988211636283 0.5
17.250031 -0.098103985925 0.5
17.50003 -0.097396330143 0.5
17.750029 -0.0966980132319 0.5
18.000028 -0.096008856736 0.5
18.250027 -0.0953286866522 0.5
18.500026 -0.0946573332928 0.5
18.750025 -0.0939946311547 0.5
19.000024 -0.0933404187912 0.5
19.250023 -0.0926945386903 0.5
19.500022 -0.0920568371565 0.5
19.750021 -0.0914271641964 0.5
20.00002 -0.0908053734096 0.5
