>> -Ggrey -W0.5,black 
0.0001 -0.12832550867 0.26
0.075 -0.127016353732 0.26
0.255 -0.124094066818 0.26
0.52 -0.12547518373 0.26
0.706 -0.121320671237 0.26
0.911 -0.125628304591 0.26
1.074 -0.112350736659 0.26
1.344 -0.112671016024 0.26
1.949 -0.117148093062 0.26
2.234 -0.109166490263 0.26
2.652 -0.106920783909 0.26
3.291 -0.104727141839 0.26
3.717 -0.103394324525 0.26
4.519 -0.0944827023111 0.26
5.126 -0.0839275000262 0.26
5.835 -0.0996273101569 0.26
6.33 -0.0983844349279 0.26
7.123 -0.0778660899566 0.26
7.26 -0.0894993729087 0.26
7.386 -0.0827722619046 0.26
7.755 -0.0850240607125 0.26
>> -Ggrey -W0.5,black 
0.0001 -0.192017536151 0.65
0.358 -0.180244665105 0.65
0.641 -0.179128936135 0.65
1.16 -0.172309552435 0.65
1.401 -0.165066094864 0.65
1.788 -0.172773085754 0.65
2.118 -0.171418617335 0.65
2.521 -0.159100353334 0.65
2.781 -0.160131140809 0.65
3.269 -0.159375269444 0.65
3.971 -0.158352876169 0.65
4.553 -0.152662034505 0.65
5.037 -0.157829428196 0.65
5.567 -0.156556450508 0.65
6.119 -0.143023102432 0.65
6.476 -0.154949142532 0.65

